dataset,step,seed,hard_auprc,uniform_auprc
DTI,0_skipgnn,42,0.7063579461269732,0.9288133029016453
DTI,0_skipgnn,123,0.7022232592349915,0.9275756260160022
DTI,0_skipgnn,7,0.7023975048592177,0.9286374722065416
DTI,1_weighted,42,0.6654361372561661,0.9234474259108024
DTI,1_weighted,123,0.7016514216124499,0.9286585284659528
DTI,1_weighted,7,0.7279534471409174,0.9298430500647936
DTI,2_gated,42,0.6819477713722656,0.931149188339486
DTI,2_gated,123,0.6986301414011884,0.9349024078448994
DTI,2_gated,7,0.6750399099815763,0.9294486533374523
DTI,3_full,42,0.7687354097233583,0.9168807124608009
DTI,3_full,123,0.7996807668817459,0.9170823830834908
DTI,3_full,7,0.7931630239458948,0.9185492328015391
